prosperity_index,house_is,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,property_subtype_APARTMENT_BLOCK,property_subtype_DUPLEX,property_subtype_GROUND_FLOOR,property_subtype_HOUSE,property_subtype_MIXED_USE_BUILDING,property_subtype_OTHER,property_subtype_PENTHOUSE,property_subtype_VILLA,region_F,region_W,building_state_agg_renovated,building_state_agg_to_renovate
95.0,1,295000.0,3.0,242.0,1,0,0,1,36.0,1,1000.0,1403.0,0,0,0,0,0,1,0,0,0,0,1,0,0
95.0,1,229000.0,4.0,312.0,1,0,0,1,20.0,0,0.0,9732.0,0,0,0,0,0,1,0,0,0,0,1,0,1
95.0,1,150000.0,6.0,450.0,0,0,0,1,29.0,0,0.0,150.0,0,1,0,0,0,0,0,0,0,0,1,0,1
95.0,1,195000.0,3.0,242.0,1,0,0,1,36.0,1,100.0,475.0,0,0,0,0,1,0,0,0,0,0,1,0,0
95.0,1,419000.0,6.0,192.0,1,0,0,1,50.0,0,0.0,8792.0,0,0,0,0,0,0,0,0,1,0,1,0,0
95.0,1,300000.0,2.0,129.0,1,0,0,1,170.0,0,0.0,1515.0,0,0,0,0,0,0,1,0,0,0,1,1,0
95.0,1,229000.0,4.0,173.0,1,1,1,1,18.0,1,600.0,1266.0,0,0,0,0,1,0,0,0,0,0,1,0,0
108.0,1,675000.0,4.0,349.0,1,0,0,0,0.0,1,977.0,1526.0,0,0,0,0,0,0,0,0,1,1,0,0,0
108.0,1,187500.0,2.0,190.0,0,0,0,1,20.0,0,0.0,214.0,0,0,0,0,1,0,0,0,0,1,0,0,1
108.0,0,219000.0,3.0,120.0,1,0,0,1,5.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
108.0,0,268000.0,2.0,90.0,0,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
108.0,0,241000.0,2.0,81.0,0,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
81.0,1,250000.0,5.0,303.0,1,0,0,0,0.0,0,0.0,760.0,0,1,0,0,0,0,0,0,0,0,1,0,1
81.0,1,280000.0,8.0,180.0,1,0,0,0,0.0,1,55.0,120.0,0,1,0,0,0,0,0,0,0,0,1,0,1
81.0,1,269000.0,3.0,130.0,1,0,0,1,25.0,0,0.0,319.0,0,0,0,0,0,1,0,0,0,0,1,0,1
81.0,1,125000.0,3.0,125.0,1,0,0,0,0.0,0,0.0,60.0,0,0,0,0,0,1,0,0,0,0,1,0,1
81.0,1,245000.0,4.0,180.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,275000.0,3.0,95.0,1,0,0,1,0.0,0,0.0,145.0,0,0,0,0,0,1,0,0,0,0,1,0,0
81.0,1,630000.0,16.0,475.0,0,0,0,1,2.0,0,0.0,98.0,0,1,0,0,0,0,0,0,0,0,1,0,1
81.0,1,259000.0,6.0,187.0,1,0,0,1,30.0,1,30.0,79.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,249500.0,2.0,95.0,1,0,0,0,0.0,0,0.0,147.0,0,0,0,0,0,1,0,0,0,0,1,0,0
81.0,1,320000.0,4.0,142.0,1,0,0,1,0.0,0,0.0,613.0,0,1,0,0,0,0,0,0,0,0,1,0,0
81.0,1,183000.0,6.0,228.0,1,0,0,0,0.0,0,0.0,28.0,0,0,0,0,0,1,0,0,0,0,1,0,0
81.0,1,239000.0,4.0,228.0,1,0,0,1,70.0,0,0.0,140.0,0,1,0,0,0,0,0,0,0,0,1,0,1
81.0,1,299000.0,8.0,275.0,1,0,0,1,30.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,1
81.0,1,68000.0,3.0,58.0,1,0,0,0,0.0,0,0.0,15.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,249000.0,4.0,220.0,1,0,0,1,28.0,1,240.0,340.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,160000.0,2.0,173.0,1,0,0,1,34.0,0,0.0,150.0,0,1,0,0,0,0,0,0,0,0,1,0,0
81.0,1,560000.0,6.0,304.0,1,0,0,0,0.0,0,0.0,32000.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,575000.0,7.0,265.0,1,0,0,0,0.0,1,25.0,120.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,1100000.0,12.0,603.0,1,0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0
81.0,1,119000.0,2.0,160.0,0,0,0,0,0.0,0,0.0,107.0,0,1,0,0,0,0,0,0,0,0,1,0,1
81.0,1,430000.0,6.0,190.0,0,0,0,0,0.0,1,21.0,193.0,0,1,0,0,0,0,0,0,0,0,1,0,0
81.0,1,1100000.0,17.0,624.0,1,0,0,0,0.0,0,0.0,178.0,0,0,0,0,0,1,0,0,0,0,1,0,0
81.0,1,289000.0,4.0,145.0,0,0,0,0,0.0,0,0.0,55.0,0,1,0,0,0,0,0,0,0,0,1,0,0
81.0,1,539000.0,9.0,435.0,1,0,0,0,0.0,0,0.0,154.0,0,1,0,0,0,0,0,0,0,0,1,0,1
81.0,1,249000.0,3.0,105.0,1,0,0,0,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0
81.0,1,225000.0,4.0,135.0,1,0,0,1,15.0,1,100.0,194.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,360000.0,4.0,203.0,1,0,0,1,50.0,1,900.0,1053.0,0,0,0,0,0,0,0,0,1,0,1,0,0
81.0,1,320000.0,4.0,140.0,1,0,0,1,24.0,1,88.0,281.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,890000.0,5.0,470.0,1,0,0,1,25.0,1,180.0,338.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,219000.0,5.0,140.0,1,0,0,1,20.0,0,0.0,101.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,215000.0,6.0,150.0,1,0,0,1,40.0,0,0.0,103.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,79000.0,2.0,76.0,1,0,0,0,0.0,0,0.0,38.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,365000.0,3.0,176.0,1,0,0,1,70.0,1,247.0,300.0,1,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,85000.0,2.0,110.0,1,0,0,0,0.0,0,0.0,237.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,127500.0,2.0,115.0,1,0,0,1,30.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,299000.0,4.0,259.0,1,0,0,1,74.0,1,500.0,810.0,0,0,0,0,0,0,1,0,0,0,1,0,1
81.0,1,495000.0,4.0,257.0,1,0,0,1,0.0,0,0.0,866.0,0,0,0,0,0,0,0,0,1,0,1,0,0
81.0,1,129000.0,4.0,185.0,0,0,0,1,21.0,0,0.0,85.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,175000.0,2.0,98.0,1,0,0,1,20.0,0,0.0,148.0,0,0,0,0,1,0,0,0,0,0,1,0,0
81.0,1,39000.0,1.0,32.0,1,0,0,0,0.0,0,0.0,16.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,49000.0,1.0,44.0,1,0,0,0,0.0,0,0.0,22.0,0,0,0,0,1,0,0,0,0,0,1,0,1
81.0,1,87500.0,2.0,67.0,1,0,0,1,10.0,1,20.0,57.0,0,0,0,0,1,0,0,0,0,0,1,0,1
