Administratieve Eenheid,Welvaartsindex
,
België,100
Vlaams Gewest,107
Waals Gewest,94
Duitstalige Gemeenschap,97
Brussels Hoofdstedelijk Gewest,78
Provincie Antwerpen,105
Arrondissement Antwerpen,102
Aartselaar,127
Antwerpen,87
Boechout,122
Boom,94
Borsbeek,100
Brasschaat,124
Brecht,115
Edegem,126
Essen,100
Hemiksem,104
Hove (Antwerpen),141
Kalmthout,115
Kapellen (Antwerpen),127
Kontich,125
Lint,126
Mortsel,114
Niel,99
Ranst,122
Rumst,120
Schelle,115
Schilde,144
Schoten,118
Stabroek,115
Wijnegem,116
Wommelgem,112
Wuustwezel,104
Zandhoven,115
Zoersel,121
Zwijndrecht,111
Malle,109
Arrondissement Mechelen,111
Berlaar,107
Bonheiden,137
Bornem,119
Duffel,115
Heist-op-den-Berg,108
Lier,110
Mechelen,105
Nijlen,108
Putte,111
Sint-Katelijne-Waver,116
Willebroek,100
Puurs-Sint-Amands,118
Arrondissement Turnhout,105
Arendonk,98
Baarle-Hertog,88
Balen,102
Beerse,111
Dessel,99
Geel,109
Grobbendonk,114
Herentals,109
Herenthout,105
Herselt,107
Hoogstraten,100
Hulshout,108
Kasterlee,113
Lille,108
Meerhout,104
Merksplas,103
Mol,105
Olen,107
Oud-Turnhout,114
Ravels,96
Retie,103
Rijkevorsel,100
Turnhout,95
Vorselaar,108
Vosselaar,120
Westerlo,109
Laakdal,106
Provincie Vlaams-Brabant,117
Provincie Waals-Brabant,115
Arrondissement Brussel-Hoofdstad,78
Anderlecht,63
Oudergem,103
Sint-Agatha-Berchem,83
Brussel,69
Etterbeek,80
Evere,73
Vorst (Brussel-Hoofdstad),81
Ganshoren,81
Elsene,89
Jette,81
Koekelberg,69
Sint-Jans-Molenbeek,57
Sint-Gillis,75
Sint-Joost-ten-Node,51
Schaarbeek,66
Ukkel,112
Watermaal-Bosvoorde,111
Sint-Lambrechts-Woluwe,95
Sint-Pieters-Woluwe,113
Arrondissement Halle-Vilvoorde,115
Asse,109
Beersel,118
Bever,110
Dilbeek,118
Galmaarden,116
Gooik,120
Grimbergen,118
Halle (Halle-Vilvoorde),106
Herne,118
Hoeilaart,123
Kampenhout,127
Kapelle-op-den-Bos,122
Liedekerke,103
Londerzeel,118
Machelen (Halle-Vilvoorde),90
Meise,130
Merchtem,121
Opwijk,116
Overijse,129
Pepingen,123
Sint-Pieters-Leeuw,101
Steenokkerzeel,123
Ternat,119
Vilvoorde,94
Zaventem,103
Zemst,131
Roosdaal,121
Drogenbos,89
Kraainem,120
Linkebeek,122
Sint-Genesius-Rode,135
Wemmel,117
Wezembeek-Oppem,124
Lennik,128
Affligem,117
Arrondissement Leuven,120
Aarschot,114
Begijnendijk,117
Bekkevoort,113
Bertem,128
Bierbeek,137
Boortmeerbeek,130
Boutersem,125
Diest,112
Geetbets,105
Haacht,124
Herent,136
Hoegaarden,123
Holsbeek,127
Huldenberg,124
Keerbergen,150
Kortenaken,109
Kortenberg,125
Landen,111
Leuven,114
Lubbeek,136
Oud-Heverlee,147
Rotselaar,126
Tervuren,128
Tienen,106
Tremelo,120
Zoutleeuw,108
Linter,112
Scherpenheuvel-Zichem,109
Tielt-Winge,116
Glabbeek,118
Arrondissement Nijvel,115
Bevekom,120
Eigenbrakel,116
Kasteelbrakel,116
Chaumont-Gistoux,133
Court-Saint-Etienne,110
Genepiën,115
Graven,124
Incourt,114
Itter,115
Geldenaken,110
Terhulpen,125
Mont-Saint-Guibert,116
Nijvel,112
Perwijs (Nijvel),111
Rixensart,124
Tubeke,90
Villers-la-Ville,114
Waterloo,125
Waver,113
Chastre,116
Hélécine,105
Lasne,148
Orp-Jauche,109
Ottignies-Louvain-la-Neuve,106
Ramillies,109
Rebecq,100
Walhain,122
Provincie West-Vlaanderen,105
Arrondissement Brugge,115
Beernem,108
Blankenberge,102
Brugge,112
Damme,113
Jabbeke,119
Oostkamp,113
Torhout,103
Zedelgem,109
Zuienkerke,117
Knokke-Heist,144
Arrondissement Diksmuide,95
Diksmuide,95
Houthulst,92
Koekelare,97
Kortemark,96
Lo-Reninge,92
Arrondissement Ieper,96
Ieper,101
Mesen,76
Poperinge,94
Wervik,94
Zonnebeke,97
